bond_id,issuer_id,purpose_id,cusip,bond_type,coupon_rate,issue_date,maturity_date,face_value,duration,tax_status
BOND0019,27,3,205550A5,General Obligation,4.2,2010-08-01,2024-08-01,1000.0,8.66,Tax-Exempt
BOND0020,21,5,495745C6,Revenue,4.52,2011-04-01,2030-04-01,1000.0,6.6,Tax-Exempt
BOND0021,46,3,234973A3,General Obligation,3.38,2016-07-01,2033-07-01,1000.0,4.8,Tax-Exempt
BOND0022,10,1,585945A6,Revenue,3.49,2014-05-01,2027-05-01,1000.0,6.99,Tax-Exempt
BOND0023,30,2,615003C9,General Obligation,2.65,2020-02-01,2034-02-01,1000.0,8.16,Tax-Exempt
BOND0024,24,4,771992C8,Revenue,2.07,2012-11-01,2030-11-01,1000.0,3.77,Tax-Exempt
BOND0025,31,5,659990C3,Revenue,3.67,2013-12-01,2025-12-01,1000.0,6.67,Tax-Exempt
BOND0026,47,4,783782A2,Revenue,4.55,2011-05-01,2029-05-01,1000.0,7.23,Tax-Exempt
BOND0027,16,3,290578B1,General Obligation,2.66,2020-12-01,2025-12-01,1000.0,3.27,Tax-Exempt
BOND0028,28,4,464430A6,Revenue,2.72,2022-04-01,2033-04-01,1000.0,3.84,Tax-Exempt
BOND0029,15,4,210872C9,General Obligation,3.55,2022-01-01,2037-01-01,1000.0,8.37,Tax-Exempt
BOND0030,34,2,738922A2,General Obligation,2.44,2020-03-01,2034-03-01,1000.0,5.84,Tax-Exempt
BOND0031,25,1,869241B1,General Obligation,3.44,2015-07-01,2028-07-01,1000.0,9.9,Tax-Exempt
BOND0032,13,3,961327B3,General Obligation,3.49,2022-04-01,2042-04-01,1000.0,5.09,Tax-Exempt
BOND0033,36,1,786741C4,Revenue,2.0,2019-08-01,2035-08-01,1000.0,7.95,Tax-Exempt
BOND0034,44,1,971727B8,General Obligation,2.24,2016-08-01,2035-08-01,1000.0,5.1,Tax-Exempt
BOND0035,29,4,378092C4,General Obligation,3.68,2020-03-01,2039-03-01,1000.0,9.49,Tax-Exempt
BOND0036,32,5,252638C3,Revenue,2.85,2010-10-01,2017-10-01,1000.0,8.9,Tax-Exempt
BOND0037,25,1,298763B7,General Obligation,4.04,2015-10-01,2031-10-01,1000.0,6.43,Tax-Exempt
BOND0038,20,2,419472A6,General Obligation,3.63,2013-11-01,2023-11-01,1000.0,9.96,Tax-Exempt
BOND0039,34,2,230788A4,Revenue,2.15,2013-09-01,2028-09-01,1000.0,6.93,Tax-Exempt
BOND0040,39,5,710821B6,Revenue,5.16,2010-03-01,2027-03-01,1000.0,6.76,Tax-Exempt
BOND0041,37,3,711406A5,Revenue,5.21,2010-03-01,2021-03-01,1000.0,8.89,Tax-Exempt
BOND0042,35,1,358639C5,Revenue,3.23,2017-01-01,2031-01-01,1000.0,3.34,Tax-Exempt
BOND0043,1,3,595689A2,General Obligation,4.99,2015-02-01,2030-02-01,1000.0,4.48,Tax-Exempt
BOND0044,9,4,897783B2,Revenue,4.47,2014-11-01,2023-11-01,1000.0,9.28,Tax-Exempt
BOND0045,10,1,683804B5,General Obligation,4.77,2019-12-01,2033-12-01,1000.0,8.52,Tax-Exempt
BOND0046,2,2,958211C2,General Obligation,3.8,2013-11-01,2028-11-01,1000.0,4.75,Tax-Exempt
BOND0047,9,5,416543A5,Revenue,3.6,2020-01-01,2030-01-01,1000.0,9.36,Tax-Exempt
BOND0048,27,5,206534C6,Revenue,3.25,2012-03-01,2030-03-01,1000.0,9.0,Tax-Exempt
BOND0049,15,5,690699B3,General Obligation,4.84,2016-09-01,2034-09-01,1000.0,3.61,Tax-Exempt
BOND0050,25,5,490638A6,Revenue,4.29,2018-07-01,2025-07-01,1000.0,9.44,Tax-Exempt
BOND0051,27,5,137281B4,General Obligation,3.35,2010-02-01,2028-02-01,1000.0,8.55,Tax-Exempt
BOND0052,27,1,646906B6,Revenue,4.15,2016-08-01,2027-08-01,1000.0,8.59,Tax-Exempt
BOND0053,46,3,935851C1,General Obligation,5.22,2021-03-01,2026-03-01,1000.0,3.14,Tax-Exempt
BOND0054,41,4,921942A4,Revenue,4.05,2019-06-01,2024-06-01,1000.0,9.68,Tax-Exempt
BOND0055,1,3,697754C4,Revenue,4.62,2022-11-01,2029-11-01,1000.0,3.32,Tax-Exempt
BOND0056,17,1,947088A2,General Obligation,2.95,2012-05-01,2024-05-01,1000.0,3.48,Tax-Exempt
BOND0057,33,3,207227C4,General Obligation,3.2,2019-01-01,2037-01-01,1000.0,3.57,Tax-Exempt
BOND0058,27,2,356461A8,Revenue,4.18,2014-10-01,2022-10-01,1000.0,8.86,Tax-Exempt
BOND0059,28,1,827955B8,Revenue,5.47,2014-08-01,2021-08-01,1000.0,8.93,Tax-Exempt
BOND0060,17,5,841632B7,Revenue,3.27,2022-01-01,2041-01-01,1000.0,3.9,Tax-Exempt
BOND0061,10,3,421826B8,Revenue,3.84,2019-02-01,2024-02-01,1000.0,3.92,Tax-Exempt
BOND0062,37,2,428942C6,General Obligation,5.02,2017-03-01,2036-03-01,1000.0,3.97,Tax-Exempt
BOND0063,10,3,198527A1,General Obligation,3.14,2017-07-01,2037-07-01,1000.0,7.36,Tax-Exempt
BOND0064,1,5,608245B9,General Obligation,2.35,2018-06-01,2029-06-01,1000.0,5.73,Tax-Exempt
BOND0065,27,3,860760A9,Revenue,3.05,2015-06-01,2020-06-01,1000.0,6.41,Tax-Exempt
BOND0066,26,5,579412A7,Revenue,4.66,2022-06-01,2035-06-01,1000.0,7.97,Tax-Exempt
BOND0067,37,4,879968A2,General Obligation,2.26,2019-11-01,2025-11-01,1000.0,5.46,Tax-Exempt
BOND0068,51,1,865676C8,General Obligation,4.75,2020-08-01,2035-08-01,1000.0,3.47,Tax-Exempt
BOND0069,38,2,628500A1,Revenue,2.9,2014-07-01,2026-07-01,1000.0,7.66,Tax-Exempt
BOND0070,4,5,447150B9,General Obligation,2.55,2014-03-01,2027-03-01,1000.0,3.18,Tax-Exempt
BOND0071,28,2,950279C8,Revenue,2.96,2022-10-01,2027-10-01,1000.0,6.46,Tax-Exempt
BOND0072,22,1,690569B7,General Obligation,5.37,2016-03-01,2022-03-01,1000.0,7.42,Tax-Exempt
BOND0073,46,5,852495B3,Revenue,3.27,2022-04-01,2034-04-01,1000.0,6.74,Tax-Exempt
BOND0074,8,2,777950A6,Revenue,4.61,2012-05-01,2018-05-01,1000.0,6.99,Tax-Exempt
BOND0075,50,4,875496B9,General Obligation,4.63,2016-10-01,2023-10-01,1000.0,9.25,Tax-Exempt
BOND0076,13,5,208779A2,Revenue,5.17,2014-05-01,2028-05-01,1000.0,3.87,Tax-Exempt
BOND0077,19,1,504833B5,General Obligation,4.47,2014-02-01,2020-02-01,1000.0,8.48,Tax-Exempt
BOND0078,26,5,917479B1,General Obligation,3.63,2014-03-01,2034-03-01,1000.0,3.7,Tax-Exempt
BOND0079,15,4,214945C9,General Obligation,3.46,2019-09-01,2035-09-01,1000.0,4.65,Tax-Exempt
BOND0080,51,2,146149B1,General Obligation,4.24,2010-06-01,2018-06-01,1000.0,3.93,Tax-Exempt
BOND0081,3,1,573636A4,General Obligation,4.03,2011-12-01,2017-12-01,1000.0,4.44,Tax-Exempt
BOND0082,36,5,743493A6,General Obligation,3.33,2017-02-01,2030-02-01,1000.0,4.37,Tax-Exempt
BOND0083,37,5,716282C2,General Obligation,2.35,2018-07-01,2035-07-01,1000.0,4.62,Tax-Exempt
BOND0084,2,4,374580A2,General Obligation,4.96,2022-10-01,2035-10-01,1000.0,8.04,Tax-Exempt
BOND0085,28,1,541479A8,Revenue,3.95,2022-11-01,2030-11-01,1000.0,8.94,Tax-Exempt
BOND0086,9,4,230793A6,Revenue,2.75,2018-06-01,2037-06-01,1000.0,6.5,Tax-Exempt
BOND0087,8,1,177907A2,General Obligation,4.63,2020-11-01,2026-11-01,1000.0,7.63,Tax-Exempt
BOND0088,26,4,928434A6,General Obligation,2.95,2022-07-01,2028-07-01,1000.0,4.75,Tax-Exempt
BOND0089,50,2,152566A9,General Obligation,4.62,2014-12-01,2020-12-01,1000.0,5.69,Tax-Exempt
BOND0090,40,2,355150C2,Revenue,5.38,2016-05-01,2028-05-01,1000.0,3.9,Tax-Exempt
BOND0091,31,3,632930B8,Revenue,2.22,2010-04-01,2030-04-01,1000.0,9.66,Tax-Exempt
BOND0092,42,4,481849B8,Revenue,5.09,2014-01-01,2027-01-01,1000.0,3.61,Tax-Exempt
BOND0093,4,1,665026C3,Revenue,4.73,2021-07-01,2041-07-01,1000.0,9.33,Tax-Exempt
BOND0094,33,3,985407C1,General Obligation,3.71,2016-05-01,2036-05-01,1000.0,6.68,Tax-Exempt
BOND0095,15,2,556716A7,Revenue,3.39,2022-07-01,2029-07-01,1000.0,5.47,Tax-Exempt
BOND0096,44,4,851562A2,General Obligation,5.34,2011-12-01,2017-12-01,1000.0,5.49,Tax-Exempt
BOND0097,18,2,357162A8,General Obligation,5.26,2021-12-01,2028-12-01,1000.0,6.82,Tax-Exempt
BOND0098,26,1,801751B6,Revenue,4.6,2021-04-01,2038-04-01,1000.0,6.05,Tax-Exempt
BOND0099,50,3,600435B4,Revenue,4.32,2012-01-01,2026-01-01,1000.0,6.26,Tax-Exempt
BOND0100,24,2,825967C1,General Obligation,4.62,2020-11-01,2027-11-01,1000.0,6.99,Tax-Exempt
BOND0101,37,4,213700A3,Revenue,3.28,2015-05-01,2035-05-01,1000.0,6.83,Tax-Exempt
BOND0102,48,1,405437C4,Revenue,4.41,2016-10-01,2026-10-01,1000.0,4.41,Tax-Exempt
BOND0103,36,1,486643A4,Revenue,3.21,2012-04-01,2017-04-01,1000.0,3.31,Tax-Exempt
BOND0104,24,3,235602A8,Revenue,5.41,2013-07-01,2023-07-01,1000.0,8.1,Tax-Exempt
BOND0105,14,2,832122A6,Revenue,5.34,2015-05-01,2024-05-01,1000.0,8.31,Tax-Exempt
BOND0106,29,4,130613C7,General Obligation,2.64,2018-02-01,2024-02-01,1000.0,5.39,Tax-Exempt
BOND0107,49,1,413781A1,Revenue,3.49,2012-06-01,2030-06-01,1000.0,6.47,Tax-Exempt
BOND0108,26,1,331877C1,Revenue,4.2,2021-10-01,2040-10-01,1000.0,3.93,Tax-Exempt
BOND0109,22,4,521984A7,General Obligation,3.27,2022-08-01,2035-08-01,1000.0,8.97,Tax-Exempt
BOND0110,50,1,657321C1,General Obligation,3.89,2010-04-01,2026-04-01,1000.0,5.31,Tax-Exempt
BOND0111,43,1,372868B8,General Obligation,5.39,2011-11-01,2026-11-01,1000.0,6.22,Tax-Exempt
BOND0112,40,4,353931A7,General Obligation,4.88,2010-09-01,2019-09-01,1000.0,5.06,Tax-Exempt
BOND0113,29,4,221986C9,General Obligation,3.56,2019-04-01,2037-04-01,1000.0,9.74,Tax-Exempt
BOND0114,15,4,845730C2,General Obligation,4.46,2022-10-01,2039-10-01,1000.0,9.86,Tax-Exempt
BOND0115,14,5,950549A6,General Obligation,4.01,2013-01-01,2032-01-01,1000.0,8.35,Tax-Exempt
BOND0116,3,1,377149A5,General Obligation,4.18,2011-05-01,2018-05-01,1000.0,5.2,Tax-Exempt
BOND0117,33,2,692626A1,Revenue,3.73,2018-12-01,2037-12-01,1000.0,8.04,Tax-Exempt
BOND0118,38,1,574394B7,Revenue,4.87,2012-02-01,2032-02-01,1000.0,3.24,Tax-Exempt
BOND0119,43,3,330251B4,General Obligation,4.54,2020-03-01,2040-03-01,1000.0,6.99,Tax-Exempt
BOND0120,15,3,471266A3,Revenue,5.11,2015-12-01,2022-12-01,1000.0,6.25,Tax-Exempt
BOND0121,14,5,383971B9,Revenue,3.15,2019-01-01,2036-01-01,1000.0,3.17,Tax-Exempt
BOND0122,23,3,402548C5,Revenue,4.23,2010-07-01,2028-07-01,1000.0,3.16,Tax-Exempt
BOND0123,33,3,988491B5,General Obligation,2.75,2013-11-01,2031-11-01,1000.0,7.06,Tax-Exempt
BOND0124,26,1,707434C3,General Obligation,2.75,2021-09-01,2030-09-01,1000.0,7.8,Tax-Exempt
BOND0125,33,4,112714B1,Revenue,4.14,2019-03-01,2037-03-01,1000.0,8.97,Tax-Exempt
BOND0126,20,5,911222B5,General Obligation,5.21,2018-12-01,2031-12-01,1000.0,7.1,Tax-Exempt
BOND0127,3,1,837793C8,General Obligation,2.6,2021-04-01,2030-04-01,1000.0,4.2,Tax-Exempt
BOND0128,34,1,451706C7,General Obligation,5.38,2012-05-01,2022-05-01,1000.0,7.04,Tax-Exempt
BOND0129,36,5,277635C7,General Obligation,4.78,2018-12-01,2037-12-01,1000.0,4.64,Tax-Exempt
BOND0130,18,3,887728C6,General Obligation,3.4,2012-12-01,2028-12-01,1000.0,4.16,Tax-Exempt
BOND0131,3,2,952091B6,Revenue,4.73,2018-04-01,2027-04-01,1000.0,9.22,Tax-Exempt
BOND0132,48,5,101438C9,Revenue,4.37,2016-03-01,2029-03-01,1000.0,9.77,Tax-Exempt
BOND0133,46,4,594112C5,General Obligation,4.31,2016-06-01,2031-06-01,1000.0,4.45,Tax-Exempt
BOND0134,9,1,699208B6,General Obligation,4.92,2016-03-01,2027-03-01,1000.0,8.96,Tax-Exempt
BOND0135,3,4,835792A8,General Obligation,3.62,2020-04-01,2036-04-01,1000.0,9.88,Tax-Exempt
BOND0136,29,1,675941B1,General Obligation,4.8,2018-06-01,2023-06-01,1000.0,9.17,Tax-Exempt
BOND0137,9,2,402745C4,General Obligation,3.94,2019-10-01,2038-10-01,1000.0,5.94,Tax-Exempt
BOND0138,13,5,934358B9,Revenue,5.24,2012-08-01,2030-08-01,1000.0,7.06,Tax-Exempt
BOND0139,26,2,116788C9,Revenue,3.54,2011-04-01,2027-04-01,1000.0,3.05,Tax-Exempt
BOND0140,12,4,701405A8,Revenue,4.83,2010-09-01,2018-09-01,1000.0,9.33,Tax-Exempt
BOND0141,32,3,759995A3,General Obligation,3.8,2022-09-01,2030-09-01,1000.0,5.94,Tax-Exempt
BOND0142,49,1,217860B1,Revenue,3.26,2016-07-01,2023-07-01,1000.0,6.47,Tax-Exempt
BOND0143,17,3,798782A2,General Obligation,3.07,2014-09-01,2027-09-01,1000.0,9.46,Tax-Exempt
BOND0144,1,3,356847B3,General Obligation,4.39,2017-08-01,2033-08-01,1000.0,7.2,Tax-Exempt
BOND0145,33,5,681670A6,General Obligation,3.68,2019-02-01,2024-02-01,1000.0,5.81,Tax-Exempt
BOND0146,37,1,106950B4,Revenue,5.16,2021-01-01,2041-01-01,1000.0,9.85,Tax-Exempt
BOND0147,14,3,344124A1,Revenue,3.77,2014-06-01,2020-06-01,1000.0,5.08,Tax-Exempt
BOND0148,6,3,618762A8,General Obligation,2.78,2011-01-01,2028-01-01,1000.0,7.21,Tax-Exempt
BOND0149,7,3,141060A9,General Obligation,3.47,2021-03-01,2028-03-01,1000.0,5.74,Tax-Exempt
BOND0150,35,1,349263B1,General Obligation,3.41,2013-10-01,2022-10-01,1000.0,7.72,Tax-Exempt
BOND0151,8,1,377496B8,Revenue,3.12,2014-01-01,2023-01-01,1000.0,5.97,Tax-Exempt
BOND0152,29,3,581868A4,General Obligation,5.25,2017-03-01,2030-03-01,1000.0,5.65,Tax-Exempt
BOND0153,28,3,547672C5,General Obligation,3.74,2014-01-01,2028-01-01,1000.0,7.79,Tax-Exempt
BOND0154,25,2,266469B6,Revenue,2.72,2021-06-01,2038-06-01,1000.0,3.94,Tax-Exempt
BOND0155,19,4,248739B2,General Obligation,4.73,2018-03-01,2027-03-01,1000.0,3.72,Tax-Exempt
BOND0156,1,2,383787C1,General Obligation,3.51,2020-06-01,2037-06-01,1000.0,9.63,Tax-Exempt
BOND0157,23,1,690223C8,Revenue,5.07,2014-06-01,2030-06-01,1000.0,7.67,Tax-Exempt
BOND0158,35,1,730396A2,Revenue,5.46,2015-12-01,2030-12-01,1000.0,6.01,Tax-Exempt
BOND0159,23,4,111504A2,Revenue,2.58,2012-10-01,2021-10-01,1000.0,3.46,Tax-Exempt
BOND0160,6,3,508474C7,General Obligation,3.1,2016-09-01,2036-09-01,1000.0,3.53,Tax-Exempt
BOND0161,46,3,240119C8,General Obligation,2.02,2010-04-01,2015-04-01,1000.0,9.5,Tax-Exempt
BOND0162,18,5,446594A6,General Obligation,3.44,2016-02-01,2027-02-01,1000.0,9.59,Tax-Exempt
BOND0163,51,2,119552A8,General Obligation,3.31,2018-07-01,2038-07-01,1000.0,4.3,Tax-Exempt
BOND0164,24,1,539722C5,Revenue,2.07,2017-01-01,2034-01-01,1000.0,5.04,Tax-Exempt
BOND0165,7,5,533090A6,General Obligation,5.44,2012-04-01,2026-04-01,1000.0,7.31,Tax-Exempt
BOND0166,17,1,272760C5,General Obligation,4.79,2019-05-01,2036-05-01,1000.0,8.09,Tax-Exempt
BOND0167,12,2,585440A9,General Obligation,3.26,2022-03-01,2033-03-01,1000.0,4.78,Tax-Exempt
BOND0168,44,4,179776B6,General Obligation,3.68,2016-03-01,2036-03-01,1000.0,6.33,Tax-Exempt
BOND0169,17,1,366050A4,General Obligation,5.41,2019-04-01,2036-04-01,1000.0,5.26,Tax-Exempt
BOND0170,50,1,239677C2,Revenue,3.73,2017-08-01,2034-08-01,1000.0,8.61,Tax-Exempt
BOND0171,23,3,192046A9,General Obligation,2.45,2014-09-01,2019-09-01,1000.0,4.02,Tax-Exempt
BOND0172,20,4,822500C9,General Obligation,4.31,2010-12-01,2026-12-01,1000.0,6.23,Tax-Exempt
BOND0173,45,4,781683B1,General Obligation,4.78,2011-01-01,2031-01-01,1000.0,5.56,Tax-Exempt
BOND0174,27,3,306613B3,General Obligation,3.43,2016-08-01,2033-08-01,1000.0,8.01,Tax-Exempt
BOND0175,17,2,349985A4,General Obligation,4.71,2022-08-01,2038-08-01,1000.0,3.65,Tax-Exempt
BOND0176,6,4,831322C4,General Obligation,2.02,2017-03-01,2025-03-01,1000.0,9.42,Tax-Exempt
BOND0177,13,5,455213C6,General Obligation,4.01,2022-12-01,2035-12-01,1000.0,4.45,Tax-Exempt
BOND0178,35,1,576205C9,General Obligation,3.79,2014-04-01,2022-04-01,1000.0,9.38,Tax-Exempt
BOND0179,2,4,601359C9,General Obligation,2.99,2022-11-01,2040-11-01,1000.0,3.92,Tax-Exempt
BOND0180,20,2,154542A8,Revenue,2.57,2010-03-01,2026-03-01,1000.0,8.16,Tax-Exempt
BOND0181,4,2,391244A2,Revenue,2.92,2012-04-01,2032-04-01,1000.0,8.74,Tax-Exempt
BOND0182,21,1,533265C5,General Obligation,5.14,2015-09-01,2035-09-01,1000.0,9.23,Tax-Exempt
BOND0183,10,1,986097B1,General Obligation,2.43,2012-07-01,2022-07-01,1000.0,4.67,Tax-Exempt
BOND0184,17,5,625456C3,Revenue,2.15,2020-10-01,2039-10-01,1000.0,3.21,Tax-Exempt
BOND0185,15,5,247687C9,General Obligation,5.22,2019-08-01,2027-08-01,1000.0,4.06,Tax-Exempt
BOND0186,17,4,817376C2,Revenue,3.77,2013-07-01,2028-07-01,1000.0,3.44,Tax-Exempt
BOND0187,16,3,950022A5,General Obligation,4.69,2022-08-01,2039-08-01,1000.0,7.94,Tax-Exempt
BOND0188,24,4,853219A1,General Obligation,5.41,2020-07-01,2033-07-01,1000.0,7.33,Tax-Exempt
BOND0189,34,2,689654B6,Revenue,2.11,2018-04-01,2025-04-01,1000.0,3.38,Tax-Exempt
BOND0190,14,4,451774B1,General Obligation,5.43,2022-02-01,2041-02-01,1000.0,6.22,Tax-Exempt
BOND0191,32,4,382412B4,Revenue,3.31,2015-11-01,2022-11-01,1000.0,6.0,Tax-Exempt
BOND0192,18,1,402231A3,General Obligation,2.08,2017-04-01,2035-04-01,1000.0,7.39,Tax-Exempt
BOND0193,30,1,567488C9,General Obligation,4.07,2010-02-01,2018-02-01,1000.0,4.06,Tax-Exempt
BOND0194,26,1,831171B6,General Obligation,2.42,2017-02-01,2025-02-01,1000.0,3.57,Tax-Exempt
BOND0195,25,2,377520B6,General Obligation,5.35,2019-11-01,2026-11-01,1000.0,8.96,Tax-Exempt
BOND0196,25,5,499905C2,Revenue,4.15,2020-12-01,2036-12-01,1000.0,9.67,Tax-Exempt
BOND0197,17,3,583144B8,General Obligation,2.07,2022-11-01,2028-11-01,1000.0,9.07,Tax-Exempt
BOND0198,44,1,945934B1,Revenue,2.0,2018-11-01,2028-11-01,1000.0,3.89,Tax-Exempt
BOND0199,45,3,361203C2,General Obligation,3.79,2014-06-01,2019-06-01,1000.0,6.77,Tax-Exempt
BOND0200,8,2,771718B9,General Obligation,2.23,2020-12-01,2028-12-01,1000.0,6.52,Tax-Exempt
BOND0201,20,5,732534C5,General Obligation,2.2,2017-08-01,2029-08-01,1000.0,6.55,Tax-Exempt
BOND0202,31,5,880811B4,General Obligation,4.38,2014-07-01,2023-07-01,1000.0,6.7,Tax-Exempt
BOND0203,28,3,856790B7,Revenue,5.2,2019-10-01,2035-10-01,1000.0,6.9,Tax-Exempt
BOND0204,44,2,740208C8,Revenue,2.1,2011-05-01,2018-05-01,1000.0,4.58,Tax-Exempt
BOND0205,1,2,157281A1,Revenue,4.77,2019-12-01,2025-12-01,1000.0,8.02,Tax-Exempt
BOND0206,25,1,502396C7,General Obligation,4.8,2020-03-01,2038-03-01,1000.0,5.19,Tax-Exempt
BOND0207,26,5,575128C2,General Obligation,5.45,2022-11-01,2030-11-01,1000.0,3.96,Tax-Exempt
BOND0208,27,1,831352C5,Revenue,4.22,2020-06-01,2030-06-01,1000.0,7.09,Tax-Exempt
BOND0209,6,2,818659A8,Revenue,2.52,2017-09-01,2025-09-01,1000.0,7.81,Tax-Exempt
BOND0210,32,5,407601B7,Revenue,5.0,2022-01-01,2029-01-01,1000.0,8.05,Tax-Exempt
BOND0211,39,1,991298B8,General Obligation,2.18,2018-07-01,2037-07-01,1000.0,7.59,Tax-Exempt
BOND0212,17,4,122412C7,General Obligation,3.46,2014-01-01,2024-01-01,1000.0,9.25,Tax-Exempt
BOND0213,38,1,283429A3,General Obligation,3.93,2017-01-01,2024-01-01,1000.0,9.03,Tax-Exempt
BOND0214,36,1,148426A8,General Obligation,4.41,2010-08-01,2016-08-01,1000.0,7.19,Tax-Exempt
BOND0215,16,4,204800C9,General Obligation,2.16,2013-11-01,2031-11-01,1000.0,7.56,Tax-Exempt
BOND0216,26,5,695334B2,General Obligation,3.89,2022-05-01,2041-05-01,1000.0,9.48,Tax-Exempt
BOND0217,11,5,628353C5,Revenue,5.22,2012-09-01,2027-09-01,1000.0,6.68,Tax-Exempt
BOND0218,22,3,488866A1,Revenue,5.28,2018-07-01,2036-07-01,1000.0,9.86,Tax-Exempt
BOND0219,50,3,511619B7,General Obligation,2.08,2014-01-01,2031-01-01,1000.0,8.15,Tax-Exempt
BOND0220,18,2,655683B1,General Obligation,2.22,2020-06-01,2027-06-01,1000.0,6.41,Tax-Exempt
BOND0221,48,5,895617A7,General Obligation,2.46,2015-11-01,2026-11-01,1000.0,3.73,Tax-Exempt
BOND0222,22,1,857909B2,General Obligation,3.92,2010-01-01,2018-01-01,1000.0,3.79,Tax-Exempt
BOND0223,8,5,717745A4,General Obligation,5.36,2016-06-01,2033-06-01,1000.0,8.72,Tax-Exempt
BOND0224,26,5,962536C4,General Obligation,5.25,2021-10-01,2030-10-01,1000.0,7.4,Tax-Exempt
BOND0225,18,2,219536C2,Revenue,2.19,2022-08-01,2039-08-01,1000.0,9.15,Tax-Exempt
BOND0226,25,4,787352A8,General Obligation,2.24,2022-02-01,2039-02-01,1000.0,9.37,Tax-Exempt
BOND0227,42,4,727386A4,General Obligation,4.53,2022-01-01,2034-01-01,1000.0,4.67,Tax-Exempt
BOND0228,17,2,434107B6,General Obligation,4.98,2012-05-01,2028-05-01,1000.0,7.92,Tax-Exempt
BOND0229,29,5,424458C9,Revenue,4.51,2021-03-01,2035-03-01,1000.0,9.78,Tax-Exempt
BOND0230,30,4,380471C5,Revenue,3.06,2018-04-01,2029-04-01,1000.0,8.3,Tax-Exempt
BOND0231,13,4,372753B3,Revenue,3.36,2014-06-01,2028-06-01,1000.0,7.1,Tax-Exempt
BOND0232,24,5,794180B9,General Obligation,3.11,2020-07-01,2027-07-01,1000.0,8.13,Tax-Exempt
BOND0233,31,2,631750B3,General Obligation,4.34,2014-04-01,2034-04-01,1000.0,7.43,Tax-Exempt
BOND0234,39,1,499162B9,General Obligation,4.32,2017-06-01,2031-06-01,1000.0,10.0,Tax-Exempt
BOND0235,49,2,430684A4,General Obligation,2.69,2018-02-01,2027-02-01,1000.0,7.37,Tax-Exempt
BOND0236,19,4,840133B1,Revenue,4.77,2012-07-01,2028-07-01,1000.0,5.07,Tax-Exempt
BOND0237,39,1,297466C5,Revenue,3.56,2017-04-01,2033-04-01,1000.0,7.42,Tax-Exempt
BOND0238,44,5,976780C5,General Obligation,4.03,2021-08-01,2040-08-01,1000.0,4.82,Tax-Exempt
BOND0239,26,3,315991A7,Revenue,5.14,2016-10-01,2034-10-01,1000.0,3.72,Tax-Exempt
BOND0240,11,2,466064A3,Revenue,2.88,2016-08-01,2033-08-01,1000.0,5.11,Tax-Exempt
BOND0241,38,4,882698A3,Revenue,4.19,2019-07-01,2026-07-01,1000.0,5.56,Tax-Exempt
BOND0242,20,5,634272B1,General Obligation,4.25,2017-05-01,2027-05-01,1000.0,4.71,Tax-Exempt
BOND0243,27,4,279461A8,General Obligation,2.49,2018-12-01,2026-12-01,1000.0,7.28,Tax-Exempt
BOND0244,25,5,510274C5,General Obligation,3.53,2013-04-01,2023-04-01,1000.0,4.99,Tax-Exempt
